airport_code,lat,lng
DRS,51.133000,13.767000
DRT,29.373000,-100.926000
DRW,0.000000,0.000000
DSC,0.000000,0.000000
DSD,0.000000,0.000000
DSE,0.000000,0.000000
DSM,41.534000,-93.663000
DTM,51.518000,7.612000
DTW,42.212000,-83.353000
DUB,53.421000,-6.270000
DUD,-45.928000,170.198000
DUG,31.469000,-109.604000
DUH,-33.607000,22.189000
DUM,1.609000,101.433000
DUR,-29.970000,30.950000
DUS,51.289000,6.767000
DUT,53.900000,-166.543000
DVO,0.000000,0.000000
DWA,0.000000,0.000000
DWB,0.000000,0.000000
DXB,25.255000,55.364000
DYS,32.421000,-99.854000
DYU,38.543000,68.825000
DZA,-12.805000,45.281000
DZH,47.708000,67.733000
EAE,0.000000,0.000000
EAM,17.611000,44.419000
EAS,43.356000,-1.791000
EBA,42.760000,10.239000
EBB,0.042000,32.443000
EBD,13.153000,30.232000
EBJ,55.526000,8.553000
EBM,31.704000,9.254000
EBU,45.540000,4.296000
EBW,0.000000,0.000000
ECG,36.261000,-76.174000
EDF,61.251000,-149.806000
EDI,55.950000,-3.373000
EDL,0.404000,35.238000
EDM,46.702000,-1.379000
EDW,34.905000,-117.884000
EFD,29.607000,-95.159000
EFL,38.120000,20.501000
EGC,44.825000,0.519000
EGN,0.000000,0.000000
EGP,28.700000,-100.479000
EGS,65.283000,-14.401000
EHL,-41.943000,-71.532000
EHM,58.647000,-162.061000
EIL,64.666000,-147.101000
EIN,51.450000,5.374000
EIS,18.445000,-64.543000
EJA,7.024000,-73.807000
EJH,26.198000,36.476000
EKN,38.889000,-79.857000
ELD,33.221000,-92.813000
ELF,13.615000,25.325000
ELG,30.571000,2.859000
ELH,25.476000,-76.681000
ELL,-23.726000,27.688000
ELP,31.807000,-106.378000
ELQ,26.303000,43.774000
ELS,-33.036000,27.826000
ELT,28.209000,33.645000
ELU,0.000000,0.000000
EMA,52.831000,-1.328000
EME,53.391000,7.227000
EMN,16.622000,-7.314000
EMX,-42.031000,-71.170000
ENA,60.573000,-151.245000
ENC,48.692000,6.230000
END,36.340000,-97.916000
ENE,-8.849000,121.662000
ENF,68.362000,23.424000
ENK,54.399000,-7.652000
ENS,52.270000,6.874000
ENU,6.474000,7.562000
ENV,40.719000,-114.031000
EOH,6.220000,-75.591000
EPL,48.325000,6.070000
EQS,-42.908000,-71.139000
ERC,39.710000,39.526000
ERF,50.980000,10.958000
ERH,31.949000,-4.401000
ERZ,39.956000,41.170000
ESB,40.128000,32.995000
ESE,31.795000,-116.602000
ESF,31.395000,-92.296000
ESH,50.836000,-0.297000
ESK,39.784000,30.582000
ESM,0.000000,0.000000
ESS,51.401000,6.936000
ETE,0.000000,0.000000
ETH,29.561000,34.960000
ETZ,48.982000,6.254000
EUA,0.000000,0.000000
EUX,17.496000,-62.979000
EVE,68.491000,16.678000
EVG,62.048000,14.423000
EVN,40.148000,44.397000
EWI,0.000000,0.000000
EWN,35.073000,-77.043000
EWO,0.000000,0.000000
EWR,40.692000,-74.169000
EXT,50.734000,-3.414000
EYL,0.000000,0.000000
EYW,24.556000,-81.759000
EZE,0.000000,0.000000
EZS,38.607000,39.291000
FAA,10.036000,-10.770000
FAB,51.276000,-0.776000
FAE,62.064000,-7.277000
FAF,37.133000,-76.609000
FAH,0.000000,0.000000
FAI,64.815000,-147.856000
FAJ,18.309000,-65.662000
FAN,58.100000,6.625000
FAO,37.014000,-7.966000
FAT,36.776000,-119.718000
FAV,-16.054000,-145.657000
FBD,0.000000,0.000000
FBK,64.837000,-147.614000
FBM,-11.591000,27.531000
FBU,59.896000,10.617000
FCO,41.813000,12.253000
FCS,38.678000,-104.756000
FDF,14.591000,-61.003000
FDH,47.671000,9.511000
FDU,-3.311000,17.382000
FEL,48.206000,11.267000
FEN,-3.855000,-32.423000
FER,0.000000,0.000000
FEZ,33.927000,-4.978000
FFD,51.682000,-1.790000
FFO,39.826000,-84.048000
FGD,0.000000,0.000000
FHU,31.588000,-110.344000
FHZ,0.000000,0.000000
FIG,10.351000,-13.569000
FIH,-4.386000,15.444000
FJR,25.112000,56.324000
FKI,0.518000,25.155000
FKQ,0.000000,0.000000
FLA,1.590000,-75.564000
FLL,26.072000,-80.153000
FLN,-27.672000,-48.548000
FLO,34.185000,-79.724000
FLR,43.810000,11.205000
FLV,39.368000,-94.914000
FLW,39.455000,-31.131000
FMA,-26.212000,-58.228000
FMH,41.658000,-70.521000
FMI,-5.876000,29.250000
FMN,36.741000,-108.230000
FMO,52.134000,7.685000
FMY,26.586000,-81.863000
FNA,8.616000,-13.195000
FNC,0.000000,0.000000
FNG,0.000000,0.000000
FNI,43.757000,4.416000
FNJ,39.033000,125.783000
FOC,25.933000,119.662000
FOD,42.551000,-94.193000
FOE,38.951000,-95.664000
FOG,41.433000,15.535000
FOK,40.844000,-72.632000
FOM,5.637000,10.751000
FOO,0.000000,0.000000
FOR,-3.776000,-38.532000
FOU,0.000000,0.000000
FPO,26.559000,-78.695000
FRA,50.026000,8.543000
FRC,-20.592000,-47.383000
FRI,39.055000,-96.764000
FRL,44.195000,12.070000
FRO,61.584000,5.025000
FRS,0.000000,0.000000
FRU,43.062000,74.478000
FRW,-21.159000,27.474000
FSC,41.501000,9.098000
FSI,34.650000,-98.402000
FSM,35.336000,-94.367000
FSP,46.763000,-56.175000
FTA,0.000000,0.000000
FTK,37.907000,-85.972000
FTU,-25.038000,46.956000
FTW,32.820000,-97.362000
FTX,-0.531000,15.950000
FUE,28.453000,-13.864000
FUJ,32.666000,128.833000
FUK,33.586000,130.450000
FUN,-8.517000,179.217000
FUT,0.000000,0.000000
FXE,26.197000,-80.171000
FXO,-14.820000,36.532000
FYT,17.917000,19.111000
FYU,66.571000,-145.250000
FYV,36.005000,-94.170000
FZO,51.519000,-2.591000
GAE,33.877000,10.103000
GAF,34.422000,8.822000
GAG,36.295000,-99.776000
GAJ,38.412000,140.371000
GAL,64.736000,-156.937000
GAO,20.085000,-75.158000
GAQ,16.248000,-0.005000
GAS,-0.463000,39.648000
GAY,24.748000,84.943000
GBE,-24.555000,25.918000
GBK,0.000000,0.000000
